OBJECTID,SOURCE,VIL_UID,CENTER,CNTR_CODE,AFG_UID,POPULATION,LANGUAGE_,LANG_CODE,ELEVATION,LAT_Y,LON_X,MISTI_PROV,MISTI_DIST,VILLAGE_NA,DIST_CODE,DIST_NA_EN,DIST_NA_DA,PROV_NA_EN,PROV_NA_DA,PROV_CODE
32462,Yale POP_MASTER,SGN-024,NA,0,BMY-SGN-024,843,Dari,1,2077.308105,35.1925,67.7329,BMY,SGN,Ghora Bachi,1002,Sayghan,?????,Bamyan,??????,10
37690,Yale POP_MASTER,ESH-053,NA,0,TKR-ESH-053,843,Dari,1,1137.113037,36.3677,69.3299,TKR,ESH,Kohestanai Payen,1615,Eshkashem,?????,Takhar,????,16
39090,Yale POP_MASTER,SWI-084,NA,0,PWN-SWI-084,1422,Pashto,2,2019.948975,35.0943,68.9458,PWN,SWI,Shairak,303,Shinwari,???????,Parwan,?????,3
42366,Yale POP_MASTER,DEG-087,NA,0,BGL-DEG-087,843,Dari,1,1544.381958,35.7229,68.5958,BGL,DEG,Kamperak Bala,903,Dahana-e-Ghori,???? ????,Baghlan,?????,9
43212,Yale POP_MASTER,INL-208,NA,0,HRT-INL-208,843,Dari,1,880.2683716,34.3782,62.0058,HRT,INL,Sar Khiz,3002,Injil,?????,Hirat,????,30
44884,Yale POP_MASTER,WDZ-056,NA,0,PKY-WDZ-056,843,Pashto,2,2259.36792,33.3822,69.3996,PKY,WDZ,Markaz Gerda Seri,1206,Zadran,??????,Paktya,?????,12
2316,Yale POP_MASTER,GRM-145,NA,0,HLM-GRM-145,842,Pashto,2,694.4782104,30.8791,64.1484,HLM,GRM,Haji Khan Mohammad,3209,Garmser,??? ???,Hilmand,?????,32
5100,Yale POP_MASTER,KRB-130,NA,0,HRT-KRB-130,842,Pashto,2,869.7114258,34.9961,62.3075,HRT,KRB,Nahr Sayad,3003,Kushk,????,Hirat,????,30
14246,Yale POP_MASTER,TRK-133,NA,0,URG-TRK-133,842,Pashto,2,1416.389038,32.6835,66.038,URG,TRK,Now Jowi,2301,Tirinkot,????????,Uruzgan,??????,23
17751,CSO AIMS Villages (ACSOR),CHN-261,NA,0,GOR-CHN-261,842,Dari,1,2407.342041,34.5783,65.26529,GOR,CHN,Seya Sang (2),2101,Chaghcharan,??????,Ghor,???,21
21654,Yale POP_MASTER,GOI-018,NA,0,SRP-GOI-018,842,Uzbek,3,1165.862061,35.9771,66.517,SRP,GOI,Ate Bai,2005,Gosfandi,???????,Sar-e-Pul,????,20
23110,Yale POP_MASTER,NSK-013,NA,0,KST-NSK-013,842,Pashto,2,1679.187988,33.4176,69.7519,KST,NSK,Dagha Kalay,2604,Nadirshahkot,??????? ???,Khost,????,26
29608,Yale POP_MASTER,SWS-052,NA,0,KUN-SWS-052,842,Pashto,2,880.7982788,34.9639,71.2811,KUN,SWS,Lar Sheltan,1306,Shigal Wa sheltan,???? ?????,Kunar,??? ??,13
40028,Yale POP_MASTER,TLQ-126,NA,0,TKR-TLQ-126,842,Uzbek,3,1140.446045,36.7947,69.6714,TKR,TLQ,Khowja Khalil,1601,Taloqan,??????,Takhar,????,16
40895,Yale POP_MASTER,MRI-048,NA,0,KAP-MRI-048,842,Dari,1,1463.866943,35.0139,69.3295,KAP,MRI,Qala Shair Khan,201,Mahmud-e- Raqi,????? ????,Kapisa,??????,2
1197,Yale POP_MASTER,OBE-142,NA,0,HRT-OBE-142,1155,Pashto,2,1483.208008,34.3948,63.4625,HRT,OBE,Tagab Shor,3012,Obe,????,Hirat,????,30
5106,Yale POP_MASTER,KRB-128,NA,0,HRT-KRB-128,841,Pashto,2,785.8120117,35.1126,62.1251,HRT,KRB,Muqur,3003,Kushk,????,Hirat,????,30
15042,Yale POP_MASTER,SBG-046,NA,0,JWJ-SBG-046,841,Turkmen,4,405.2998047,36.5305,65.7958,JWJ,SBG,Afghan Tepa Arabya,2701,Shiberghan,??????,Jawzjan,??????,27
18989,Yale POP_MASTER,QB1-096,NA,0,GZN-QB1-096,841,Pashto,2,2092.22998,33.1923,68.0951,GZN,QB1,Daftani Gad Wal,1110,Qarabagh,??? ???,Ghazni,????,11
19145,Yale POP_MASTER,QB1-150,NA,0,GZN-QB1-150,841,Pashto,2,2039.854004,33.1082,68.1452,GZN,QB1,Jamal Khail Payen,1110,Qarabagh,??? ???,Ghazni,????,11
20564,Yale POP_MASTER,CHA-003,NA,0,GOR-CHA-003,841,Dari,1,2289.393066,35.0402,65.1076,GOR,CHA,Bad Qoul,2102,Charsadra,??? ?? ??,Ghor,???,21
21954,Yale POP_MASTER,SRA-066,NA,0,PKK-SRA-066,841,Pashto,2,2139.559082,33.1948,68.8043,PKK,SRA,Kanawa Khail,2501,Sharan,???,Paktika,??????,25
22873,Yale POP_MASTER,NKH-014,NA,0,PKK-NKH-014,841,Pashto,2,2619.458984,33.1767,69.2436,PKK,NKH,Mangal,2511,Naka,????,Paktika,??????,25
23401,Yale POP_MASTER,KHS-120,NA,0,KST-KHS-120,841,Pashto,2,1175.785034,33.3436,69.9336,KST,KHS,Nowi Kalay,2601,Khost(Matun),( ????(????,Khost,????,26
24552,Yale POP_MASTER,ZRM-142,NA,0,PKY-ZRM-142,841,Pashto,2,2179.343018,33.505,69.0645,PKY,ZRM,Pak Khail,1204,Zurmat,?????,Paktya,?????,12
27274,Yale POP_MASTER,SRZ-107,NA,0,NGR-SRZ-107,841,Pashto,2,1659.838989,34.2124,70.0067,NGR,SRZ,Seda Kas,611,Sherzad,??????,Nangarhar,???????,6
28641,Yale POP_MASTER,MTM-101,NA,0,LGM-MTM-101,841,Dari,1,760.4627075,34.6872,70.2512,LGM,MTM,Kachor,701,Mehtarlam,???? ???,Laghman,?????,7
37307,Yale POP_MASTER,KEM-109,NA,0,BDK-KEM-109,841,Dari,1,902.0383301,36.8862,70.0829,BDK,KEM,Zair Jaar Ha,1518,Keshem,???,Badakhshan,??????,15
957,Yale POP_MASTER,KKA-046,NA,0,HRT-KKA-046,840,Dari,1,1076.609985,34.8605,62.5542,HRT,KKA,Dahana Kokalam Markaz Wolluswaly,3013,Kushk-e-Kohna,???? ????,Hirat,????,30
1983,Yale POP_MASTER,NDA-134,NA,0,HLM-NDA-134,840,Pashto,2,818.3765259,31.6982,64.211,HLM,NDA,Naw Abad Saifon,3203,Nad-e-Ali,??????,Hilmand,?????,32
2118,Yale POP_MASTER,ABK-081,NA,0,BDG-ABK-081,840,Dari,1,1463.96106,34.8357,62.7777,BDG,ABK,Qaraghak Tarake,2903,Abkamari,?? ????,Badghis,??????,29
